TX_ACCESSION	SYMBOL
ENST00000023939.8	RTFDC1
ENST00000023939.8	RTF2
ENST00000165086.8	NPIPB4
ENST00000165086.8	NPIPB3
ENST00000190983.4	CCN5
ENST00000190983.4	WISP2
ENST00000194118.8	KIAA0141
ENST00000194118.8	DELE1
ENST00000206544.8	SLC22A17
ENST00000215376.7	CBARP
ENST00000215555.6	MARCH2
ENST00000215555.6	MARCHF2
ENST00000217926.5	H2BFWT
ENST00000217926.5	H2BW1
ENST00000219535.7	FAM173A
ENST00000219535.7	ANTKMT
ENST00000220856.6	CCN4
ENST00000220856.6	WISP1
ENST00000221561.12	AES
ENST00000221561.12	TLE5
ENST00000221567.6	KIR3DX1
ENST00000221818.5	CNTD2
ENST00000221818.5	CCNP
ENST00000222388.6	ABCF2
ENST00000222388.6	ABCF2-H2BE1
ENST00000222690.10	H2AZ2
ENST00000222690.10	H2AFV
ENST00000230529.9	CCN6
ENST00000230529.9	WISP3
ENST00000237163.9	DOPEY1
ENST00000237163.9	DOP1A
ENST00000243314.5	MAGEA9
ENST00000243314.5	MAGEA9B
ENST00000244534.6	HIST1H1D
ENST00000244534.6	H1-3
ENST00000244537.5	H4C6
ENST00000244537.5	HIST1H4F
ENST00000244573.4	H1-1
ENST00000244573.4	HIST1H1A
ENST00000245382.6	C17orf53
ENST00000245382.6	HROB
ENST00000245448.10	ATP5S
ENST00000245448.10	DMAC2L
ENST00000246421.4	SLC35E2
ENST00000246421.4	SLC35E2A
ENST00000250366.6	AC011473.4
ENST00000250366.6	KLK9
ENST00000250377.11	PRORP
ENST00000250377.11	KIAA0391
ENST00000250831.5	RBMY1F
ENST00000250831.5	RBMY1J
ENST00000250930.7	PGAP6
ENST00000250930.7	TMEM8A
ENST00000251143.9	C16orf62
ENST00000251143.9	VPS35L
ENST00000251303.10	SLX1B
ENST00000251303.10	SLX1A
ENST00000254810.8	H3F3B
ENST00000254810.8	H3-3B
ENST00000256858.10	KIAA1468
ENST00000256858.10	RELCH
ENST00000259050.8	MARCHF7
ENST00000259050.8	MARCH7
ENST00000259318.7	AKAP2
ENST00000259318.7	PALM2AKAP2
ENST00000259335.8	KIAA0368
ENST00000259335.8	ECPAS
ENST00000261455.8	PACC1
ENST00000261455.8	TMEM206
ENST00000261772.12	AARS1
ENST00000261772.12	AARS
ENST00000262283.5	AC100868.1
ENST00000262283.5	OC90
ENST00000263012.10	NOMO3
ENST00000263012.10	NOMO2
ENST00000263032.5	NXF5
ENST00000263084.6	DPH1
ENST00000263084.6	OVCA2
ENST00000264424.12	GUCY1B3
ENST00000264424.12	GUCY1B1
ENST00000264893.10	SEPT11
ENST00000264893.10	SEPTIN11
ENST00000265068.9	KIAA1257
ENST00000265068.9	CFAP92
ENST00000265112.7	TARS
ENST00000265112.7	TARS1
ENST00000265458.7	AC090124.3
ENST00000265458.7	AC090124.2
ENST00000265865.3	RUFY2
ENST00000267485.7	ARMH4
ENST00000267485.7	C14orf37
ENST00000268231.12	SEPT12
ENST00000268231.12	SEPTIN12
ENST00000270190.8	DOPEY2
ENST00000270190.8	DOP1B
ENST00000270364.11	CAPN10
ENST00000270364.11	GPR35
ENST00000271385.9	STYXL2
ENST00000271385.9	DUSP27
ENST00000272454.10	RGPD6
ENST00000272454.10	RGPD5
ENST00000273146.6	FAM198A
ENST00000273146.6	GASK1A
ENST00000273390.9	MAATS1
ENST00000273390.9	CFAP91
ENST00000274056.11	MARCH1
ENST00000274056.11	MARCHF1
ENST00000274562.13	LARS
ENST00000274562.13	LARS1
ENST00000274764.4	H2BC1
ENST00000274764.4	HIST1H2BA
ENST00000277141.10	ZCCHC6
ENST00000277141.10	TUT7
ENST00000277198.6	AOPEP
ENST00000277198.6	C9orf3
ENST00000278224.13	CARS
ENST00000278224.13	CARS1
ENST00000279147.8	LTO1
ENST00000279147.8	ORAOV1
ENST00000279389.8	FAM57B
ENST00000279389.8	TLCD3B
ENST00000280082.4	CTAGE5
ENST00000280082.4	MIA2
ENST00000280083.7	CTAGE5
ENST00000280083.7	MIA2
ENST00000280330.12	FAM173B
ENST00000280330.12	ATPSCKMT
ENST00000282050.6	ATP5F1A
ENST00000282050.6	ATP5A1
ENST00000283050.7	AC138969.1
ENST00000283050.7	NPIPA1
ENST00000284727.8	ATP5MC3
ENST00000284727.8	ATP5G3
ENST00000284971.7	ATP5PF
ENST00000284971.7	ATP5J
ENST00000285274.9	ZNF286B
ENST00000286190.9	ALS2CR12
ENST00000286190.9	FLACC1
ENST00000286523.9	ELMSAN1
ENST00000286523.9	MIDEAS
ENST00000286953.7	ATP5MJ
ENST00000286953.7	C14orf2
ENST00000289032.12	ZNF782
ENST00000289316.2	H2BC5
ENST00000289316.2	HIST1H2BD
ENST00000289779.7	AL591806.3
ENST00000289779.7	F11R
ENST00000290765.8	GSTT2
ENST00000290765.8	GSTT2B
ENST00000291458.9	MIX23
ENST00000291458.9	CCDC58
ENST00000291552.8	U2AF1L5
ENST00000291552.8	U2AF1
ENST00000292475.7	ATP5MF
ENST00000292475.7	ATP5J2
ENST00000295012.5	OBSCN-AS1
ENST00000295966.11	CFAP20DC
ENST00000295966.11	C3orf67
ENST00000296449.9	IHO1
ENST00000296449.9	CCDC36
ENST00000296518.11	GUCY1A3
ENST00000296518.11	GUCY1A1
ENST00000296530.12	GASK1B
ENST00000296530.12	FAM198B
ENST00000296783.7	PAPD4
ENST00000296783.7	TENT2
ENST00000296873.11	SEPT8
ENST00000296873.11	SEPTIN8
ENST00000296946.6	T
ENST00000296946.6	TBXT
ENST00000297012.4	H2AC1
ENST00000297012.4	HIST1H2AA
ENST00000297186.7	RSPH10B
ENST00000297186.7	RSPH10B2
ENST00000297369.10	ACTR3C
